质量_A
t	x	y	v_{x}	v_{y}	v
5.766666667E0	7.523901987E-3	-1.949570475E-2	1.934427602E-2	-3.026079380E-1	3.032256011E-1
5.800000000E0	1.253471723E-2	-2.083250182E-2	3.239520386E-1	-3.628444838E-2	3.259777362E-1
5.833333333E0	2.912070456E-2	-2.191466798E-2	3.321673776E-1	-1.802160996E-1	3.779060852E-1
5.866666667E0	3.467920907E-2	-3.284690846E-2	1.625186971E-1	-1.826851477E-1	2.445121472E-1
5.900000000E0	3.995528436E-2	-3.409367783E-2	2.154946153E-1	-3.646678361E-2	2.185583573E-1
5.933333333E0	4.904551676E-2	-3.527802737E-2	2.815756096E-1	-7.369601939E-2	2.910600062E-1
5.966666667E0	5.872699167E-2	-3.900674579E-2	2.991224315E-1	-1.034479638E-1	3.165054664E-1
6.000000000E0	6.898701219E-2	-4.217455829E-2	2.957280720E-1	-6.851894606E-2	3.035620835E-1
6.033333333E0	7.844219647E-2	-4.357467552E-2	2.693292929E-1	-1.147627397E-2	2.695736872E-1
6.066666667E0	8.694229838E-2	-4.293964322E-2	2.539814284E-1	-6.201554106E-3	2.540571299E-1
6.100000000E0	9.537429170E-2	-4.398811246E-2	1.917023538E-1	-1.984450339E-3	1.917126248E-1
6.133333333E0	9.972245530E-2	-4.307193991E-2	-6.077620583E-2	4.196068436E-2	7.385422281E-2
6.166666667E0	9.132254464E-2	-4.119073351E-2	1.362947415E-1	2.686097943E-1	3.012100233E-1
6.200000000E0	1.088087714E-1	-2.516462029E-2	2.835245852E-1	2.918350180E-1	4.068831136E-1
6.233333333E0	1.102241837E-1	-2.173506564E-2	-1.388487749E-2	1.232470786E-1	1.240267398E-1
6.266666667E0	1.078831129E-1	-1.694814839E-2	-9.416778309E-2	1.625286573E-1	1.878380574E-1
6.300000000E0	1.039463314E-1	-1.089982182E-2	-3.116889174E-1	2.222075916E-2	3.124799888E-1
6.333333333E0	8.710385174E-2	-1.546676444E-2	-3.206760090E-1	5.991280295E-2	3.262248408E-1
6.366666667E0	8.256793085E-2	-6.905634956E-3	-1.872948945E-1	2.421007323E-1	3.060917217E-1
6.400000000E0	7.461752544E-2	6.732843795E-4	-3.279808746E-1	2.051341300E-1	3.868481167E-1
6.433333333E0	6.070253921E-2	6.769973708E-3	-3.207460747E-1	1.971068174E-1	3.764693107E-1
6.466666667E0	5.323445379E-2	1.381373887E-2	-2.202879230E-1	1.590023749E-1	2.716772428E-1
6.500000000E0	4.601667767E-2	1.737013203E-2	-1.998664917E-1	7.230782730E-2	2.125441987E-1
6.533333333E0	3.991002102E-2	1.863426069E-2	-1.635190464E-1	1.038554267E-2	1.638485216E-1
6.566666667E0	3.511540791E-2	1.806250155E-2	-3.093124866E-1	3.230028537E-2	3.109944096E-1
6.600000000E0	1.928918858E-2	2.078761305E-2	-2.573832093E-1	-3.008945668E-2	2.591360489E-1
6.633333333E0	1.795652729E-2	1.605653777E-2	-1.921688844E-2	-1.648377666E-1	1.659541446E-1
6.666666667E0	1.800806268E-2	9.798428608E-3	1.633347117E-1	-3.022149425E-1	3.435288918E-1
6.700000000E0	2.884550807E-2	-4.091125067E-3	2.083492205E-1	-3.537843815E-1	4.105761638E-1
6.733333333E0	3.189801072E-2	-1.378719682E-2	4.885374057E-3	-1.429530967E-1	1.430365504E-1
6.766666667E0	2.917119967E-2	-1.362133152E-2	6.709059776E-2	-1.292520035E-1	1.456270192E-1
6.800000000E0	3.637071723E-2	-2.240399706E-2	1.808997659E-1	-2.054344915E-1	2.737298954E-1
6.833333333E0	4.123118407E-2	-2.731696429E-2	2.072208191E-1	-3.169894215E-1	3.787119765E-1
