质量_A
t	x	y	v	v_{y}	v_{x}
3.633333333E0	4.423008125E-2	-7.342032995E-2	1.130338747E-1	-9.547923061E-3	1.126298983E-1
3.666666667E0	4.192512799E-2	-7.259202484E-2	9.793919853E-2	6.157098791E-2	-7.616495294E-2
3.700000000E0	3.915241772E-2	-6.931559743E-2	1.317851165E-1	1.247597385E-1	-4.245379322E-2
3.733333333E0	3.909487511E-2	-6.427470894E-2	3.426406797E-1	3.225190692E-1	-1.156896079E-1
3.766666667E0	3.143977720E-2	-4.781432615E-2	4.046838836E-1	3.084145342E-1	-2.620105356E-1
3.800000000E0	2.162750607E-2	-4.371373999E-2	3.007688242E-1	2.925618591E-1	-6.978140311E-2
3.833333333E0	2.678768366E-2	-2.831020221E-2	4.835620804E-1	4.738848263E-1	9.625724392E-2
3.866666667E0	2.804465566E-2	-1.212141824E-2	4.210999495E-1	4.210887707E-1	3.068330151E-3
3.900000000E0	2.699223900E-2	-2.376174917E-4	2.168263862E-1	2.157638933E-1	2.143884532E-2
3.933333333E0	2.947391202E-2	2.262841311E-3	4.582856994E-2	3.132838724E-2	3.344831798E-2
3.966666667E0	2.922212686E-2	1.850941658E-3	9.778465304E-2	9.692433772E-2	1.294260902E-2
4.000000000E0	3.033675262E-2	8.724463826E-3	4.524704295E-2	-3.580915922E-2	2.765861551E-2
4.033333333E0	3.106603456E-2	-5.363356238E-4	6.828812265E-2	-6.679793276E-2	1.418815963E-2
4.066666667E0	3.128262993E-2	4.271268308E-3	8.159318553E-2	-7.342780412E-2	-3.557816054E-2
4.100000000E0	2.869415719E-2	-5.431522565E-3	2.424152668E-1	-2.323502746E-1	6.912677819E-2
4.133333333E0	3.589108181E-2	-1.121875000E-2	4.698258572E-1	-4.655754220E-1	6.305444067E-2
4.166666667E0	3.289778657E-2	-3.646988403E-2	4.692898636E-1	-4.618746695E-1	-8.309492015E-2
4.200000000E0	3.035142046E-2	-4.201039463E-2	2.874538223E-1	-2.771581797E-1	-7.624331705E-2
4.233333333E0	2.781489877E-2	-5.494709601E-2	3.897496752E-1	-3.777989370E-1	-9.577459191E-2
4.266666667E0	2.396644767E-2	-6.719699043E-2	1.931233404E-1	-1.866637551E-1	-4.953046683E-2
4.300000000E0	2.451286765E-2	-6.739134635E-2	1.260064306E-1	-1.163695920E-1	4.832947962E-2
4.333333333E0	2.718841298E-2	-7.495496324E-2	5.663437932E-2	-4.412329096E-2	3.550476188E-2
4.366666667E0	2.687985177E-2	-7.033289908E-2			-2.672857548E-3
4.400000000E0	2.701022248E-2				
4.466666667E0	2.250000000E-2	-5.034926471E-2			
4.500000000E0	2.755232659E-2	-4.434677685E-2	2.935091994E-1	2.773000919E-1	9.618892443E-2
4.533333333E0	2.891259496E-2	-3.186259191E-2	3.811036769E-1	3.809656744E-1	-1.025511643E-2
4.566666667E0	2.686865216E-2	-1.894906522E-2	4.440189381E-1	4.429788720E-1	-3.037328354E-2
4.600000000E0	2.688770939E-2	-2.330667112E-3	4.126736138E-1	4.003756843E-1	9.999411463E-2
4.633333333E0	3.353492647E-2	7.742647059E-3	2.592723309E-1	2.034204846E-1	1.607552425E-1
4.666666667E0	3.760472556E-2	1.123069853E-2	9.684376985E-2	-9.275045956E-2	2.785799725E-2
4.700000000E0	3.539212629E-2	1.559283088E-3	9.679237124E-2	-9.512853739E-2	-1.786965317E-2
4.733333333E0	3.641341535E-2	4.888796037E-3	1.291026799E-1	-8.361089911E-2	9.837031819E-2
4.766666667E0	4.195014750E-2	-4.014776852E-3	2.557368805E-1	-2.519773766E-1	4.368928621E-2
4.800000000E0	3.932603443E-2	-1.190969573E-2	2.932372751E-1	-2.915839735E-1	-3.109478963E-2
4.833333333E0	3.987716152E-2	-2.345370842E-2	3.484834647E-1	-3.432071822E-1	-6.041154911E-2
4.866666667E0	3.529859782E-2	-3.479017455E-2	4.136995569E-1	-4.107752110E-1	-4.910243772E-2
4.900000000E0	3.660366568E-2	-5.083872249E-2	3.350154110E-1	-3.349138783E-1	-8.247404540E-3
4.933333333E0	3.474877085E-2	-5.711776644E-2	2.758990784E-1	-2.338310529E-1	-1.464354470E-1
4.966666667E0	2.684130255E-2	-6.642745935E-2			
5.000000000E0		-7.187485936E-2		-2.353296271E-2	
5.033333333E0	1.485294118E-2	-6.799632353E-2			
5.066666667E0	2.033302518E-2	-6.143244485E-2	1.118940448E-1	1.102195562E-1	1.928540115E-2
5.100000000E0	1.613863459E-2	-6.064835312E-2	3.294917565E-2	3.273494394E-2	3.751215972E-3
5.133333333E0	2.058310625E-2	-5.925011526E-2			8.714245323E-2
5.166666667E0	2.194813147E-2				1.341563052E-2
5.200000000E0	2.147748162E-2	-3.422334559E-2			7.855606106E-2
5.233333333E0	2.718520221E-2	-2.613740809E-2	2.971914858E-1	2.283088235E-1	1.902573529E-1
5.266666667E0	3.416130515E-2	-1.900275735E-2	2.632096335E-1	2.211741728E-1	1.426930147E-1
5.300000000E0	3.669806985E-2	-1.139246324E-2	2.566916461E-1	2.291058500E-1	1.157631663E-1
5.333333333E0	4.187884957E-2	-3.729034021E-3	1.997449769E-1	1.538014356E-1	1.274487120E-1
5.366666667E0	4.519465065E-2	-1.139034193E-3	7.269475609E-2	7.261353798E-2	3.435355099E-3
5.400000000E0	4.210787324E-2	1.111868511E-3	1.454061652E-1	-1.448699705E-1	-1.247575752E-2
5.433333333E0	4.436293349E-2	-1.079703223E-2	1.180349081E-1	-1.132484948E-1	3.327187954E-2
5.466666667E0	4.432599854E-2	-6.438031141E-3	7.464287580E-2	-6.981381808E-2	-2.641192370E-2
5.500000000E0	4.260213857E-2	-1.545128676E-2	3.489349619E-1	-3.356004568E-1	-9.554025869E-2
5.533333333E0	3.795664797E-2	-2.881139493E-2	3.610709372E-1	-3.050327634E-1	-1.932025749E-1
