质量_A
t	x	y	v	v_{y}	v_{x}
4.200000000E0	7.239585510E-2	-8.227587822E-2	2.117105373E-1	-3.367779554E-2	2.090147308E-1
4.233333333E0	7.512772435E-2	-8.242498770E-2	1.033902041E-1	7.320379639E-2	7.301190654E-2
4.266666667E0	7.726331554E-2	-7.739562513E-2	2.054980482E-1	1.891285184E-1	8.037320054E-2
4.300000000E0	8.048593772E-2	-6.981641981E-2	3.971493429E-1	3.658358594E-1	1.545694813E-1
4.333333333E0	8.756794762E-2	-5.300656784E-2	3.664135597E-1	3.576263018E-1	-7.976418374E-2
4.366666667E0	7.516832547E-2	-4.597466635E-2	4.295648645E-1	3.205754866E-1	-2.859323875E-1
4.400000000E0	6.850578845E-2	-3.163486873E-2	4.810101556E-1	4.111023419E-1	-2.497311240E-1
4.433333333E0	5.851958387E-2	-1.856784356E-2	6.154933125E-1	4.641458990E-1	-4.042284035E-1
4.466666667E0	4.155722822E-2	-6.918087975E-4	6.191006323E-1	4.461214408E-1	-4.292566283E-1
4.500000000E0	2.990247531E-2	1.117358583E-2	4.235005699E-1	2.852583239E-1	-3.130182445E-1
4.533333333E0	2.068934525E-2	1.832541279E-2	3.819459667E-1	2.316909419E-1	-3.036478699E-1
4.566666667E0	9.659283981E-3	2.661964862E-2	2.249300870E-1	-3.241257093E-2	-2.225825000E-1
4.600000000E0	5.850511918E-3	1.616457473E-2	2.955162493E-1	-1.139942734E-1	-2.726447491E-1
4.633333333E0	-8.517032627E-3	1.902003040E-2	2.444761110E-1	-1.305072100E-1	-2.067279299E-1
4.666666667E0	-7.931350074E-3	7.464094069E-3	3.988851064E-1	-3.907013767E-1	8.038508761E-2
4.700000000E0	-3.158026787E-3	-7.026728053E-3	6.266732690E-1	-5.234382697E-1	3.445747581E-1
4.733333333E0	1.504030046E-2	-2.743179058E-2	5.528294982E-1	-3.400189181E-1	4.358985999E-1
4.766666667E0	2.590187987E-2	-2.969465593E-2	5.010399898E-1	-2.647573443E-1	4.253758574E-1
4.800000000E0	4.339869096E-2	-4.508228019E-2	5.863112286E-1	-3.388603470E-1	4.784710253E-1
4.833333333E0	5.779994823E-2	-5.228534573E-2	5.370960279E-1	-2.785112082E-1	4.592424742E-1
4.866666667E0	7.401485591E-2	-6.364969407E-2	2.272733016E-1	-9.459830877E-2	2.066502204E-1
4.900000000E0	7.157662959E-2	-5.859189965E-2	2.796917960E-1	1.244515191E-1	2.504781830E-1
4.933333333E0	9.071340144E-2	-5.535292613E-2	2.349739995E-1	-6.876073765E-2	2.246880980E-1
4.966666667E0	8.655583612E-2	-6.317594882E-2	6.406324645E-2	-6.331567705E-2	9.758308520E-3
5.000000000E0	9.136395534E-2	-5.957397127E-2	1.368332951E-1	1.241973015E-1	5.743153265E-2
5.033333333E0	9.038460496E-2	-5.489612872E-2	2.902802267E-1	2.833127928E-1	-6.321765149E-2
5.066666667E0	8.714944524E-2	-4.068645175E-2	3.822872518E-1	2.518068003E-1	-2.876401888E-1
5.100000000E0	7.120859237E-2	-3.810900870E-2	3.113724191E-1	2.517730715E-1	-1.832023576E-1
5.133333333E0	7.493595473E-2	-2.390158032E-2	4.115490044E-1	3.881942913E-1	-1.366666576E-1
5.166666667E0	6.209748187E-2	-1.222938928E-2	5.459403263E-1	2.471385418E-1	-4.867991177E-1
5.200000000E0	4.248268022E-2	-7.425677527E-3			-6.618675927E-1
5.233333333E0	1.797297569E-2				-5.352291745E-1
5.266666667E0	6.800735254E-3	1.757622456E-2			-2.709822754E-1
5.300000000E0	-9.250933719E-5	1.554206948E-2	1.326097299E-1	-2.090939423E-2	-1.309508980E-1
5.333333333E0	-1.929324613E-3	1.618226494E-2	2.947280346E-2	-1.183275387E-2	-2.699318580E-2
5.366666667E0	-1.892055057E-3	1.475321922E-2	1.367874153E-1	-9.501614570E-2	9.840085892E-2
5.400000000E0	4.630732649E-3	9.847855231E-3	1.219985135E-1	-1.099340105E-1	5.289754842E-2
5.433333333E0	1.634448171E-3	7.424285184E-3	2.024956418E-1	-1.949927031E-1	5.461071972E-2
5.466666667E0	8.271447297E-3	-3.151658306E-3	5.677901431E-1	-4.211883146E-1	3.807703379E-1
5.500000000E0	2.701913736E-2	-2.065493579E-2	8.257534105E-1	-5.074790210E-1	6.514090406E-1
5.533333333E0	5.169871667E-2	-3.698359304E-2	5.808689902E-1	-1.985079480E-1	5.458968569E-1
5.566666667E0	6.341226116E-2	-3.388879899E-2	3.017435541E-1	5.696328293E-3	3.016897815E-1
5.600000000E0	7.181136877E-2	-3.660383782E-2	3.778615459E-1	-7.596430878E-2	3.701469595E-1
5.633333333E0	8.808872513E-2	-3.895308624E-2			3.689157274E-1
5.666666667E0	9.640575060E-2				1.978063360E-1
5.700000000E0	1.012758142E-1	-3.388879899E-2			6.702209664E-2
5.733333333E0	1.008738904E-1	-3.171992924E-2	1.037539807E-1	8.012014520E-2	-6.592155072E-2
5.766666667E0	9.688104415E-2	-2.854745597E-2	2.492630729E-1	5.575912845E-2	-2.429464943E-1
5.800000000E0	8.467745742E-2	-2.800265401E-2	5.056130834E-1	2.122963081E-2	-5.051671930E-1
